Provider ID,Procedure codes/CPT Code,Billing frequency,Patient ID,Total amount,Doctor,Hospital,Diagnosis Report,Discharge Summary,Prescriptions and Bills,Hospital Bills,Insurance Company Name,Fraud history approval/rejection status,Contact Details,Network Partners,Benefits,Policy Number,Policy type,Policy Date,Claim limits,Premium amount,Start Date,End Date,Bank Account,Policy Number (Claim),Policy Holder Name,Address,Phone Number,Email,Covered,Hospitalized Date,Treatment expenses,Claim Documents Submitted,Policy Name
3ad4f758-0a2f-4a2d-8aa7-fdd19c576967,CPT-88487,Quarterly,a2656711-298d-48e2-b62a-ad041afbd686,14135,Mrs. Alyssa Howard DDS,Brown LLC,Study young human.,With food past environment challenge girl well.,Us weight recently industry.,25016,"Mcguire, Rose and Moore",Approved,+1-961-533-4770,Castillo Inc,Maternity Benefits,9dd9cbcd-cdb1-4957-b9c1-545b4adbf22c,Family,2022-09-09,14523,877,2022-08-16,2023-06-24,GB78OJPO94754806326229,035b9268-3816-409b-be47-591789384d7b,Stephanie Williams,"9029 Jimmy Ranch Apt. 078 South Robert, AZ 04164",845-208-4551,gibsonvictoria@example.net,Yes,2021-07-10,4535,Yes,Disease-Specific Health Insurance Plans
54815931-a6aa-44c3-90c5-75e183040e6a,CPT-27900,Annually,b9395cd3-d48e-41d2-b0d0-c781f813ca31,47161,Karen Becker,Cooper LLC,Step away within account.,Issue pull throw size.,Else help go red.,18254,Middleton Group,Approved,904.212.6061x29495,Hampton PLC,Critical Disease Specific Plans,32ab98da-5f01-4aec-aee4-a7cf2c62a5e6,Family,2021-03-06,50460,454,2021-02-28,2021-05-14,GB57PJKS46998028861565,cd49a352-ff19-4103-8003-adc08b914261,Nichole Salazar,"783 Amy Wells Suite 045 Vasquezside, KS 71093",(691)747-5994,deannawalker@example.net,Yes,2024-04-19,8192,Yes,Senior Citizen Health Insurance Plans
090d7017-2186-41c9-aa5a-a8a1416b2a94,CPT-70026,Quarterly,a660ac38-2641-4680-bb52-8c1a00e056e4,8934,Linda Chambers,"Williams, Jackson and Greene",Movement miss someone only.,Apply whether music heavy mean here central customer.,Hour series note add.,27145,Adams and Sons,Approved,341-757-3199,Ibarra-Pierce,Maternity Benefits,771a72f4-9cb6-4aa4-bbb7-04409e5cb3d5,Family,2022-02-25,15715,238,2022-01-09,2022-04-07,GB61DUZC36535537026891,5af2759d-0639-446f-9bfc-e005e0f9f495,Katie Logan,"0966 Jasmine Springs Apt. 018 South Danny, AZ 47311",973-561-1967,brandon22@example.org,Yes,2020-05-25,3639,Yes,Senior Citizen Health Insurance Plans
eeb84c5d-beaf-4e0e-b818-ed12d1f13fdb,CPT-10653,Annually,ace263b6-601b-4b0a-ba26-8f55ca32d03f,3845,Devin Thompson,"Jones, Ramsey and Graham",Right create current.,Story mind coach.,Certainly campaign know anyone front.,39950,Strong Ltd,Approved,001-673-968-5202x6944,Hernandez-Green,Eye and Vision Care,d1235dcb-128d-4341-a8a1-b207d2bd89b3,Individual,2024-05-11,53820,940,2024-01-29,2024-05-27,GB52BITZ59562514701093,b3c383d9-4eae-46e5-b384-750c80ee97de,Alice Porter,"5556 Brandt Oval Suite 171 South Josephton, SC 38632",001-420-525-4194,karengreen@example.net,Yes,2021-02-03,6815,Yes,Senior Citizen Health Insurance Plans
641ad61b-42d9-4899-8f43-d0d52d6e6c1b,CPT-82426,Quarterly,ce3793c7-b74f-4230-872a-18b76f39260a,8661,Scott Smith,"Tran, Cabrera and Jordan",Four series national wife newspaper couple.,Citizen pattern eye movement too tonight.,Avoid western adult these what during structure.,79378,"Smith, Miller and Johnson",Approved,(229)277-8219,"Hill, Howard and Ashley",Critical Disease Specific Plans,a809725a-1ce1-49e3-aa6e-6d3ad79ef012,Individual,2023-03-18,20214,364,2022-09-22,2023-09-13,GB09ZSCY49521478712025,fb1f12f9-a563-4157-8616-c0ce61027e08,Elizabeth Washington,"44061 Colleen Trafficway East Ericside, AR 66289",359-498-8136x7412,alexander51@example.org,Yes,2024-08-19,4935,Yes,Disease-Specific Health Insurance Plans
c52e2c3e-108b-4f48-b744-6c5638b2081d,CPT-26365,Monthly,8f780f29-159e-456e-842d-a0a71d66051e,11816,Tammie Carrillo,Branch-Archer,Manage Democrat western century.,Worker moment claim way wind argue practice.,Reflect toward television those need hard entire.,10698,Wood-Villegas,Approved,710-366-5103x825,Allison-Hooper,Eye and Vision Care,213fa243-6876-4efb-b531-913c6d839ff3,Individual,2023-01-14,68774,393,2022-03-15,2023-02-05,GB86JMWD23453011235093,e8de3d48-7e39-48e6-a0de-0a5835b61be8,William Knight,"8347 Torres Passage South Tiffanybury, MN 05981",(817)322-0946,bwright@example.net,Yes,2024-06-09,2975,Yes,Disease-Specific Health Insurance Plans
2786ee0a-668c-4bc1-9e69-a2f0e29549da,CPT-49735,Annually,044abf57-f2ca-46dd-842e-0e5a68a4ac06,26692,Melody Sherman,Maynard-Spears,Leave vote time another population machine.,Reason able soldier determine.,Them ball break son.,89397,"Mccall, Brown and Thompson",Approved,+1-893-381-9692,Atkinson PLC,Eye and Vision Care,9213bb56-586e-485b-a5b6-d95eeda245c7,Individual,2021-12-28,37509,749,2021-06-21,2022-05-10,GB14ZWYJ10065412992728,aa633543-9772-4166-8283-eb721f0ed6c2,Casey Kelley,"156 Pham Park Deanton, IL 03148",+1-862-599-7590x68839,johnwatson@example.net,Yes,2024-08-06,5943,Yes,Disease-Specific Health Insurance Plans
6cae395b-99b2-4b0f-92b6-81bc192be477,CPT-20230,Annually,74d6b012-d6fa-4539-8f7a-23b3a0a9f582,25219,Brandon Pena,"Fisher, Gardner and Roberts",Similar buy some phone often.,Population fish inside.,There author argue their yeah fight.,33693,Nguyen-Smith,Approved,001-687-219-1322x7937,"Gilbert, Bowman and Brown",Maternity Benefits,9c7333e3-6fb8-4fa0-961d-79077aa5ebef,Family,2024-09-23,33954,486,2024-03-19,2024-12-08,GB29HDHQ03504344928116,99172739-f06a-4975-89e3-35e99fe29132,Victor Miller,"7782 Watts Forest Pagetown, NH 50173",(214)982-3492x47796,katiegibson@example.com,Yes,2021-03-05,6841,Yes,Disease-Specific Health Insurance Plans
27af5e86-35e5-46d1-9a32-f1f5196ae531,CPT-93302,Annually,03d3787e-703e-402a-9960-998b6aa6c264,21838,Jimmy West,Moore PLC,Yourself including beyond even determine nothing.,Make where fear respond.,Thank food purpose top range never stand.,47605,"Jenkins, Pittman and Smith",Approved,202.505.1301x191,"Wong, Butler and Wilson",Comprehensive Health Plan,121d16eb-58c6-4971-9b4d-f31e4767d2b0,Corporate,2021-05-29,39967,695,2021-04-12,2022-03-27,GB97IVQY69841269546297,48d1c7fb-412f-4e59-ba1b-fa93cfbfb2d5,Amanda Morales,"628 Nelson Corner Apt. 464 Port Sarah, NE 98771",001-201-444-2591x354,angel89@example.org,Yes,2024-04-16,5915,Yes,Disease-Specific Health Insurance Plans
99ac4dd9-2e4b-4d82-aab8-789673f0bd02,CPT-35303,Quarterly,443d82f5-78d1-4b23-af40-098dd806d7b7,4597,Christine Morales,Barnes-Bullock,Discussion common level war way support fill.,Indicate executive share stock foreign risk modern.,True control real weight detail long.,75540,Bruce Inc,Approved,+1-290-639-6496x53978,"Williams, Parker and Singh",Comprehensive Health Plan,540cde19-4aee-4a88-8852-71fa60bbaea6,Family,2021-01-08,12870,659,2020-03-14,2021-02-20,GB92LHAU92695270258786,ddf5b738-35d0-4452-90b0-e0063e9a55ed,Andrew Anderson,"029 Alyssa Spring Suite 476 Port Randyside, WA 01225",(283)927-6006,kara02@example.net,Yes,2024-04-05,7494,Yes,Senior Citizen Health Insurance Plans
