Provider ID,Procedure codes/CPT Code,Billing frequency,Patient ID,Total amount,Doctor,Hospital,Diagnosis Report,Discharge Summary,Prescriptions and Bills,Hospital Bills,Insurance Company Name,Fraud history approval/rejection status,Contact Details,Network Partners,Benefits,Policy Number,Policy type,Renewal Date,Claim limits,Premium amount,Start Date,End Date,Bank Account,Policy Number (Claim),Policy Holder Name,Address,Phone Number,Email,Covered,Hospitalized Date,Treatment expenses,Claim Documents Submitted,Policy Name
96afec6d-5ee7-4a43-86eb-1a092518158b,CPT-41590,Monthly,6d0e4ecb-4e17-4cf2-9d22-bf9197a4fd3d,16199,Dr. Devin Sharp,Pierce Inc,Treatment: Assessed pre-surgery and provided comprehensive eye care instructions.','Admission Start Date:15-09-2020; Admission End: 09-03-2023; Treatment: Treatment: Assessed pre-surgery and provided comprehensive eye care instructions.'',Hear continue there natural get spring policy.,92799,"Cooper, Tucker and Wolf",Rejected,479-995-5379,Miller-Rodriguez,Includes Yearly Medical Check-Ups,ea0c8ba0-c9a3-4bbf-92a4-ffdb7d4779b6,Individual,05-10-2022,24272,252,04-05-2020,01-04-2023,GB43XHGT58158191748201,ea0c8ba0-c9a3-4bbf-92a4-ffdb7d4779b6,Jessica Crawford,"338 Riley Drives Apt. 151 North Adamton, UT 22583",486.806.5676,douglasdawson@gmail.com,No,15-09-2020,4083,Yes,Comprehensive Health Plan
8e8088c2-a9a9-4bad-825b-3dbb08e98a2c,CPT-45081,Annually,7f61f33e-8e1d-4b47-b45f-527e1476411b,62049,Dr. Brittany Clark,Velasquez-Russell,Treatment: Performed cataract removal and implanted intraocular lens.',Parent modern nor. Often answer top world.,Reach candidate agreement continue lead.,7317,Fitzpatrick-Harmon,Rejected,903.501.2626x3452,Thomas and Sons,Includes Yearly Medical Check-Ups,8541ac7e-b054-45a6-aabf-9f0e5f07c0c0,Family,30-10-2024,17931,327,07-07-2024,13-06-2025,GB51QLSC85496589922952,8541ac7e-b054-45a6-aabf-9f0e5f07c0c0,Jeremy Alexander,"878 Michael Corner Suite 220 Dustinchester, WV 97378",001-167-110-7716x060,jromero@hotmail.com,Yes,06-05-2022,8146,No,Comprehensive Health Plan
d6986e5b-21b6-4035-a32f-9dbfb2f7271e,CPT-32171,Quarterly,9b9800da-328d-4af9-b179-d5f7bcdcee5c,67664,Dr. David Garcia,"Johnson, Carpenter and Bryant",Treatment: Provided counseling for mental health support.',Job book full several ask until.,Throw question this case player.,76808,Suarez Group,Rejected,+1-149-983-3469x725,Scott-Porter,Cardiovascular Health,e303b8ac-fd53-4c60-a6dc-f4d8d214d102,Individual,01-03-2025,62510,985,17-04-2023,12-04-2025,GB11ZHCV85329454566504,e303b8ac-fd53-4c60-a6dc-f4d8d214d102,Jennifer Davis,"842 Smith Forges Apt. 290 Port Stephenfurt, HI 44446",5208759755,gwatts@warren.org,Yes,12-09-2023,1577,No,Senior Citizen Health Insurance Plans
12eef947-383e-45c2-9086-c273ad9ed9ab,CPT-87680,Annually,5c044d1d-3bcb-4cbb-afe5-8428b996f93a,3184,Dr. Gerald Lawrence,Luna and Sons,Treatment: Provided intravenous fluids and electrolyte therapy for severe dehydration.',So build common ever sound.,Financial at necessary focus.,13298,King and Sons,Approved,001-162-181-2632x9148,Ross LLC,Protection from Growing Medical Expenses,b8d77dec-af32-46df-8ed2-eff1690b4232,Individual,29-06-2024,7287,471,09-05-2024,11-04-2025,GB05LSJZ90871463953227,b8d77dec-af32-46df-8ed2-eff1690b4232,Courtney Rios,"989 Malone Isle Bowmanberg, CA 45947",924-511-1389x878,morganbenjamin@ramirez.com,No,27-04-2020,914,Yes,Senior Citizen Health Insurance Plans
f541aa3d-861e-4f58-89d8-3a20a3d33a98,CPT-10372,Monthly,cd7a4a4a-2147-402b-88fd-8066d2105674,12340,Dr. Dean Roberts,"Watson, Grant and York",Treatment: Conducted routine check-up and prescribed vitamins.',Body quite purpose avoid others hold.,Or want school beat network participant create.,74641,Cunningham Group,Rejected,-5149,"Mason, Byrd and Ramirez",Maternity Benefits,acf71840-e376-4191-b84e-85113b5fc179,Corporate,04-09-2023,82965,54,11-09-2021,10-01-2024,GB78SEFX78424850386536,acf71840-e376-4191-b84e-85113b5fc179,Joseph Duran,"215 David Mission Munozburgh, MI 72436",329.119.7203x33671,ccopeland@carlson.net,Yes,04-01-2025,5038,Yes,Comprehensive Health Plan
f4ebc8e7-075e-493f-983c-51412217ef5b,CPT-59929,Monthly,03e0a4ae-aee1-45ff-bb21-0a4cb6bdbd83,62624,Dr. Zachary Clark,"Wallace, Gonzales and Patterson",Treatment: Conducted surgical intervention for lung cancer patients.',Forget scientist view mention structure. Reality deep way listen young.,Standard seek discover method without federal.,16200,"Mason, Hart and Pena",Approved,(100)560-8801,"Hamilton, Williams and Bell",Includes Yearly Medical Check-Ups,768a6796-242d-4bfa-812e-64e1c7483604,Corporate,26-09-2022,49704,613,17-08-2020,04-04-2023,GB79EHLG11823735489622,768a6796-242d-4bfa-812e-64e1c7483604,Johnny Hess,"293 Brett Locks Suite 742 North Jeremy, FL 72797",445-581-5324x519,huntereric@yahoo.com,No,08-07-2024,295,No,Senior Citizen Health Insurance Plans
60193da5-085c-4642-b987-c67b58041223,CPT-31648,Annually,aa4b01dc-5f00-4de6-a600-10ba891361f0,56322,Dr. Ashley Wilkins,"Carr, Mccoy and Larson",Treatment: Provided care for acute kidney injury requiring urgent dialysis.','Admission Start Date:02-06-2023; Admission End: 20-11-2024; Treatment: Treatment: Provided care for acute kidney injury requiring urgent dialysis.'',Note growth exactly speak raise four building.,94295,Lynch-Lawson,Rejected,031.347.5767x16458,Myers-Murphy,Critical Disease Specific Plans,9c7fb798-5a7b-4578-853f-71231fef1734,Family,26-11-2024,68878,693,25-01-2022,22-07-2025,GB90MEVX52265229391585,9c7fb798-5a7b-4578-853f-71231fef1734,Brian Phillips,"64225 Deborah Plains Apt. 718 Martinfort, WI 66595",345-182-9368,jasmineholt@blair.com,Yes,02-06-2023,9177,No,Disease-Specific Health Insurance Plans
351bdd6b-450f-4915-959a-a1cad54ce170,CPT-16711,Monthly,49b87a93-2c4c-4f36-8d37-e46bebf0719b,5051,Dr. Kylie Baldwin,Olson-Good,Treatment: Assisted with delivery and provided neonatal care.',About short shake bit inside in.,Three executive prove guy finally hand.,40308,"Green, Pittman and Webster",Approved,001-412-229-0130x76376,Melton Group,Critical Disease Specific Plans,e6ff579c-8fe4-4606-a3d3-0d9318765f22,Individual,18-09-2024,72575,931,29-07-2020,08-07-2025,GB25AQGS07246975004226,e6ff579c-8fe4-4606-a3d3-0d9318765f22,Brian Wilkerson,"770 Hunter Path Lynchfort, GA 58782",790363581,perrykenneth@richardson-gonzalez.info,No,09-08-2024,9902,Yes,Disease-Specific Health Insurance Plans
ea4595fd-25ea-4b5b-8f2d-358f533e17e4,CPT-24724,Monthly,054ed2f6-dcaf-49ac-8118-b9a54df5bd45,95948,Dr. Anna Lawrence,Carroll-Fowler,Treatment: Performed cataract removal and implanted intraocular lens.',Will before stage reality city term itself special. Less nothing those next.,Until here form need church many.,83457,Garcia-Brewer,Rejected,553.321.4058,White Group,Critical Disease Specific Plans,b3651dbf-9de3-43d4-afc0-fa6c89126baa,Family,08-11-2023,54527,738,14-04-2023,12-07-2024,GB37DHIT09079917572413,b3651dbf-9de3-43d4-afc0-fa6c89126baa,Colleen Jones,"379 Martinez Cape Suite 579 Patrickchester, WI 02474",(012)640-4341,castillopatricia@hotmail.com,No,27-12-2023,4896,Yes,Disease-Specific Health Insurance Plans
d27e8930-4b5a-42c2-b1ef-0a52c8271652,CPT-18924,Annually,f0d591f8-4f4c-4b0d-9ad1-54df8e5a0257,38673,Dr. Laura Hooper,Meyers and Sons,Treatment: Administered pain relief for post-operative recovery.',Service control customer born.,Small effect water child.,30826,Reed and Sons,Approved,3308886829,Wilson PLC,Dental Treatment Coverage,3ef03026-9f48-4031-8848-f55b33c39c75,Family,05-02-2025,91150,987,20-02-2020,17-12-2025,GB56FVRU70085971347688,3ef03026-9f48-4031-8848-f55b33c39c75,Elizabeth Lamb,"9568 Patterson Throughway Marcusville, VA 05638",2622139826,russellelizabeth@garcia.com,Yes,05-08-2024,1411,Yes,Senior Citizen Health Insurance Plans
